Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Beyaz,1 TB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//hp/victus-15-fa1032nt-827x0ea09-i5-12500h-32gb-1tbssd-rtx4050-15-6-fullhd-w11p-tasinabilir-bilgisay-p-785133261,39.549 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q İngilizce,Oyun,,,,IPS,16 GB,DDR5,Metalik,1 TB,,,,2560 x 1600,QHD+,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//dell/alienware-m16-i9-13900hx-16-qhd-16gb-1tb-ssd-rtx-4080-q-us-ing-klavye-p-758354321,90.045 TL
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,512 GB,,,2.2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-5-an515-58-core-i5-12450h-8gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qlzey-007-p-779034907,28.490 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507xi-lp043a4-ryzen9-7940hs-32gb-512ssd-rtx4070-15-6-fullhd-freedos-tasinabil-p-755135009,"52.320,51 TL"
,HDMI - USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,2560 x 1600,Full HD (FHD),13700HX,13. Nesil,Intel Core i7,16,Windows,,https://www.trendyol.com//acer/predator-13-nesil-core-i7-13700hx-rtx4060-8gb-16gb-512gb-ssd-16inc-w11-p-774440697,57.998 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,16 GB,Dahili,90 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR6,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),13620H,10. Nesil,Intel Core i7,8,Windows,,https://www.trendyol.com//lenovo/loq-intel-core-i7-13620-16gb-512gb-ssd-nvidia-geforce-rtx-4050-6gb-gddr6-15-6-fhd-w11-notebo-p-754176754,44.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,32 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-11320h-32gb-1tb-ssd-gtx1650-freedos-15-6-82k101lxtxa58-p-767234648,"25.617,85 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,Full HD,32 GB,DDR4,Metalik,500 GB,Gen 4,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1342-dvb0x-b-intel-core-i5-13420h-32gb-ram-500gb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-778321478,36.099 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Siyah,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),5800H,5. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//hp/victus-gaming-16-r7-5800h-32gb-2tb-ssd-rtx3050ti-4gb-144hz-16-1-fhd-w11-home-793k0ea-p-767770291,"33.659,01 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//hp/victus-15-fa0011nt-80d33ea01-i5-12450h-16gb-1tbssd-rtx3050-15-6-fullhd-freedos-tasinabilir-bilgi-p-742650884,"28.511,01 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Gri,1 TB,,,2.6,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//asus/rog-strix-g16-g614jva34-n3159a34-intel-i7-13650hx-32gb-1tb-ssd-rtx4060-windows-10-home-16-p-753788498,"57.930,56 TL"
,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,QHD,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//hp/omen-17-cm2002nt-7p6m4ea-13-nesil-intel-i7-13700hx-32gb-1tb-ssd-8gb-rtx4070-17-3-inc-qhd-165hz-p-670146697,62.999 TL
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r10054nt-i7-13700h-16gb-ram-rtx-3050-6gb-512gb-ssd-16-1-fhd-freedos-siyah-7p6l9ea-p-746153245,31.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,8 GB,DDR5,Pembe,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp034w-amd-ryzen-7-7735hs-8gb-512gb-ssd-nvidia-geforce-rtx4060-15-6-w11-p-771846780,39.999 TL
16 GB,Bluetooth,,2 kg ve Altı,Var,"13,4 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,Q Türkçe,Oyun,5.0,,Yok,IPS,16 GB,DDR5,Siyah,1 TB,,,2.6,2560 x 1600,WQXGA,13900H,13. Nesil,Intel Core i9,14,Free Dos,,https://www.trendyol.com//asus/rog-flow-z13-gz301vu-mu015-intel-i9-13900h-16gb-ddr5-1tb-ssd-6gb-rtx4050-13-4-wqxga-165hz-dos-p-670208903,58.699 TL
,USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,Oyun,,,,Full HD,16 GB,DDR5,Gümüş,1 TB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//hp/victus-16-s0003nt-7-nesil-ryzen-7-7840hs-rtx4070-8gb-16gb-512gb-16-1inc-w11-p-779237022,45.009 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,5.0,,,,32 GB,DDR4,Metalik,2 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1028nt-i7-13700h-32gb-2tb-ssd-rtx3050-6gb-fdos-15-6-144hz-fhd-7n9v0ea-p-682949225,36.135 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614jv-n3159a7-i7-13650hx-32gb-512ssd-1tbssd-rtx4060-16-fullhd-freedos-tasinabi-p-757322913,"56.330,01 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1600,QHD+,13700HX,13. Nesil,Intel Core i7,16,Linux,,https://www.trendyol.com//dell/g16-7630-i7-13700hx-32gb-1tb-ssd-8gb-rtx4060-16-qhd-165hz-ubuntu-g16763013u-p-760907976,48.509 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,2 TB,,,,2560 x 1600,QHD+,13950HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//msi/vector-17-gp78hx-13vh-479xtr-i9-13950hx-32gb-ddr5-rtx4080-gddr6-12gb-2tb-ssd-240hz-qhd-freedos-p-770027602,93.499 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/katana-17-b12vfk-403tr-dizustu-bilgisayar-core-i7-12650h-17-3-fhd-144hz-16gb-ram-rtx4060-8g-p-742245712,63.499 TL
16 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Gri,512 GB,Gen 3,,3.3,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-p-768062893,26.399 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,VA,16 GB,DDR5,Siyah,1 TB,,,,2560 x 1600,QHD+,13900HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//dell/g16-7630-8gb-rtx4070-13-nesil-i9-13900hx-16gb-1tb-ssd-16-inc-qhd-165hz-win11-g167630020wh-p-696673226,59.999 TL
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//hp/omen-16-wd0001nt-7x9y4ea-i5-13420h-16gb-ram-512gb-ssd-6gb-rtx-4050-16-1-fhd-freedos-p-761172692,36.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1052nt-7p8n3ea03-i5-13420h-16gb-1tbssd-rtx2050-15-6-fullhd-freedos-tasinabilir-bilgi-p-782509322,"27.471,51 TL"
32 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),AMD Ryzen 7 5800H,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-amd-ryzen-7-5800h-16gb-512gb-ssd-rtx3060-freedos-15-6-fhd-dizustu-bilgisayar-p-743074134,33.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Mavi,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//hp/victus-16-s0060nt-ryzen-7-7840hs-32gb-2tb-ssd-rtx3050-6gb-144hz-16-1-fhd-w11pro-8d7v8ea-p-754017998,"34.649,01 TL"
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Dahili,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0014nt-ryzen-7-7840hs-16gb-rtx-4060-8gb-512gb-ssd-16-1-inc-fhd-144hz-freedos-7z4m5ea-p-741784400,36.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q İngilizce,Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//lenovo/loq-amd-ryzen-5-7640hs-16-gb-ram-512-gb-ssd-rtx-4060-15-6-win-11-gaming-laptop-82xt008stx-p-767448793,37.999 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,60 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,14,Free Dos,,https://www.trendyol.com//hp/omen-6-wf0033nt-i5-13500hx-16gb-512gb-ssd-8gb-geforce-rtx-4060-16-1-inc-fhd-freedos-siyah-7q7y5ea-p-752366887,41.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nua58-lp030a58-amd-ryzen-7-7735hs-32gb-1tb-ssd-rtx4050-freedos-15-6-p-700139678,"38.175,61 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,,,IPS,64 GB,DDR5,Siyah,2 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/g16-7630-i7-13650hx-64gb-2tb-ssd-rtx4060-8gb-15-6-165-hz-fhd-w11home-g167630240108wh-p-737518606,"69.095,07 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g16-7630-i7-13650hx-32gb-1tb-ssd-rtx4060-8gb-15-6-165-hz-fhd-w11pro-g167630240108wh-p-737475406,"63.386,73 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,Full HD,32 GB,DDR4,Metalik,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//casper/excalibur-g870-1342-dfb0p-b-intel-core-i5-13420h-32gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-windows-11-p-778685699,39.299 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,Oyun,,,Yok,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),4600H,4. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-a15-4-nesil-ryzen-5-4600h-8gb-512gbssd-15-6inc-rtx3050ti-4gb-w11-uyumlu-p-382734265,29.500 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Dahili,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,,8 GB,DDR4,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),10500H,10. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//dell/g15-5510-i5-10500h-8gb-ram-512gb-ssd-4gb-gtx1650-15-6-fhd-120hz-windows-10-4b500w85c-p-331847581,24.999 TL
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Dahili,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0045nt-7-7840hs-16gb-ram-rtx-3050-512gb-ssd-16-1-inc-fhd-144hz-freedos-88q26ea-p-742845982,29.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,16 GB,DDR4,Siyah,512 GB,,,2.1,1920 x 1080,Full HD (FHD),13420H,12. Nesil,Intel Core i5,8,Windows,4-6 Saat,https://www.trendyol.com//hp/victus-15-fa1052nta4-intel-i5-13420h-16gb-512gb-ssd-rtx2050-windows-10-home-15-6-fhd-7p8n3eaa4-p-775913012,"28.022,18 TL"
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4090,GDDR6X,16 GB,Harici,165 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,5.0,,,IPS,64 GB,DDR5,Gri,1 TB,,,,2560 x 1600,WQHD,13900HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1390-ef90x-c-intel-core-i9-13900hx-64gb-ddr5-ram-1tb-nvme-ssd-16gb-rtx4090-freedos-p-672169464,105.199 TL
,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6X,8 GB,Harici,165 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Gri,1 TB,Gen 4,,,2560 x 1600,WQHD,13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1370-bfb0x-c-intel-core-i7-13700hx-16gb-ddr5-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672165945,49.099 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82s9016ptx01-i5-12450h-8gb-1tbssd-rtx3060-15-6-fullhd-freedos-tasinabilir-b-p-778466366,"29.008,01 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),6800H,7. Nesil,AMD Ryzen 7,16,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming-3-15arh7-82sb00nvtx-r7-6800h-16gb-512gb-ssd-rtx-3050ti-15-6-freedos-p-777718294,28.299 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g16-7630-i7-13650hx-32gb-1tb-ssd-rtx4060-8gb-15-6-165-hz-fhd-w11home-g167630240108wh-p-737489771,"61.256,25 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,,,IPS,64 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g16-7630-i7-13650hx-64gb-1tb-ssd-rtx4060-8gb-15-6-165-hz-fhd-w11home-g167630240108wh-p-737488007,"66.964,59 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Siyah,2 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g16-7630-i7-13650hx-32gb-2tb-ssd-rtx4060-8gb-15-6-165-hz-fhd-w11home-g167630240108wh-p-737482345,"63.428,31 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.9,,,IPS,64 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g16-7630-i7-13650hx-64gb-512gb-ssd-rtx4060-8gb-15-6-165-hz-fhd-w11home-g167630240108wh-p-737477573,"65.133,09 TL"
